starttime	seconds	ctime	dtime	ttime	wait
Sat Aug 09 09:50:16 2014	1407570616	326	852	1178	852
Sat Aug 09 09:50:16 2014	1407570616	345	833	1179	833
Sat Aug 09 09:50:16 2014	1407570616	337	842	1179	841
Sat Aug 09 09:50:16 2014	1407570616	326	854	1180	854
Sat Aug 09 09:50:16 2014	1407570616	323	857	1180	857
Sat Aug 09 09:50:16 2014	1407570616	349	832	1180	832
Sat Aug 09 09:50:16 2014	1407570616	326	855	1181	854
Sat Aug 09 09:50:16 2014	1407570616	349	832	1181	832
Sat Aug 09 09:50:16 2014	1407570616	346	836	1182	836
Sat Aug 09 09:50:16 2014	1407570616	326	855	1182	855
Sat Aug 09 09:50:16 2014	1407570616	346	837	1183	837
Sat Aug 09 09:50:16 2014	1407570616	326	857	1183	856
Sat Aug 09 09:50:16 2014	1407570616	326	860	1186	860
Sat Aug 09 09:50:16 2014	1407570616	324	862	1187	862
Sat Aug 09 09:50:16 2014	1407570616	346	841	1187	841
Sat Aug 09 09:50:16 2014	1407570616	327	861	1188	861
Sat Aug 09 09:50:16 2014	1407570616	349	839	1188	839
Sat Aug 09 09:50:16 2014	1407570616	348	840	1188	840
Sat Aug 09 09:50:16 2014	1407570616	327	862	1189	862
Sat Aug 09 09:50:16 2014	1407570616	324	869	1193	869
Sat Aug 09 09:50:16 2014	1407570616	327	868	1195	868
Sat Aug 09 09:50:16 2014	1407570616	323	874	1198	874
Sat Aug 09 09:50:16 2014	1407570616	323	876	1199	876
Sat Aug 09 09:50:16 2014	1407570616	327	874	1200	874
Sat Aug 09 09:50:16 2014	1407570616	324	877	1201	877
Sat Aug 09 09:50:16 2014	1407570616	327	875	1201	875
Sat Aug 09 09:50:16 2014	1407570616	324	878	1203	878
Sat Aug 09 09:50:16 2014	1407570616	323	880	1203	880
Sat Aug 09 09:50:16 2014	1407570616	349	856	1205	856
Sat Aug 09 09:50:16 2014	1407570616	324	881	1205	881
Sat Aug 09 09:50:16 2014	1407570616	337	869	1206	869
Sat Aug 09 09:50:16 2014	1407570616	337	870	1207	870
Sat Aug 09 09:50:16 2014	1407570616	324	884	1207	884
Sat Aug 09 09:50:16 2014	1407570616	324	886	1210	886
Sat Aug 09 09:50:16 2014	1407570616	337	873	1210	873
Sat Aug 09 09:50:16 2014	1407570616	325	889	1214	889
Sat Aug 09 09:50:16 2014	1407570616	324	894	1218	894
Sat Aug 09 09:50:16 2014	1407570616	324	896	1220	896
Sat Aug 09 09:50:16 2014	1407570616	348	874	1222	874
Sat Aug 09 09:50:16 2014	1407570616	324	899	1223	899
Sat Aug 09 09:50:16 2014	1407570616	325	902	1226	902
Sat Aug 09 09:50:16 2014	1407570616	324	907	1231	907
Sat Aug 09 09:50:16 2014	1407570616	325	906	1231	906
Sat Aug 09 09:50:16 2014	1407570616	336	895	1232	895
Sat Aug 09 09:50:16 2014	1407570616	336	898	1235	898
Sat Aug 09 09:50:16 2014	1407570616	348	887	1235	887
Sat Aug 09 09:50:16 2014	1407570616	316	919	1235	919
Sat Aug 09 09:50:16 2014	1407570616	339	898	1238	898
Sat Aug 09 09:50:16 2014	1407570616	346	893	1239	893
Sat Aug 09 09:50:16 2014	1407570616	346	897	1243	897
Sat Aug 09 09:50:16 2014	1407570616	325	920	1244	920
Sat Aug 09 09:50:16 2014	1407570616	346	899	1245	899
Sat Aug 09 09:50:16 2014	1407570616	340	906	1246	906
Sat Aug 09 09:50:16 2014	1407570616	346	902	1248	902
Sat Aug 09 09:50:16 2014	1407570616	316	933	1249	933
Sat Aug 09 09:50:16 2014	1407570616	338	915	1253	915
Sat Aug 09 09:50:16 2014	1407570616	318	937	1255	937
Sat Aug 09 09:50:16 2014	1407570616	351	906	1257	906
Sat Aug 09 09:50:16 2014	1407570616	347	910	1257	910
Sat Aug 09 09:50:16 2014	1407570616	336	924	1261	924
Sat Aug 09 09:50:16 2014	1407570616	343	918	1261	918
Sat Aug 09 09:50:16 2014	1407570616	320	941	1262	941
Sat Aug 09 09:50:16 2014	1407570616	349	912	1262	912
Sat Aug 09 09:50:16 2014	1407570616	343	919	1262	919
Sat Aug 09 09:50:16 2014	1407570616	349	913	1263	913
